Institution,Fiscal Year,Study Level,Gender Group,HEADCOUNT
Carleton,2014-2015,Graduate,Male,"1,644"
Carleton,2015-2016,Undergraduate,Female,"10,033"
Carleton,2015-2016,Undergraduate,Male,"10,569"
Carleton,2015-2016,Graduate,Female,"1,639"
Carleton,2015-2016,Graduate,Male,"1,720"
Carleton,2016-2017,Undergraduate,Female,"10,265"
Carleton,2016-2017,Undergraduate,Male,"10,712"
Carleton,2016-2017,Graduate,Female,"1,720"
Carleton,2016-2017,Graduate,Male,"1,765"
Carleton,2017-2018,Undergraduate,Female,"10,685"
Carleton,2017-2018,Undergraduate,Male,"10,913"
Carleton,2017-2018,Undergraduate,N/A or Another,109
Carleton,2017-2018,Graduate,Female,"1,745"
Carleton,2017-2018,Graduate,Male,"1,788"
Carleton,2017-2018,Graduate,N/A or Another,54
Carleton,2018-2019,Undergraduate,Female,"10,872"
Carleton,2018-2019,Undergraduate,Male,"10,715"
Carleton,2018-2019,Undergraduate,N/A or Another,168
Carleton,2018-2019,Graduate,Female,"1,738"
Carleton,2018-2019,Graduate,Male,"1,648"
Carleton,2018-2019,Graduate,N/A or Another,101
Carleton,2019-2020,Undergraduate,Female,"10,924"
Carleton,2019-2020,Undergraduate,Male,"10,658"
Carleton,2019-2020,Undergraduate,N/A or Another,225
Carleton,2019-2020,Graduate,Female,"1,776"
Carleton,2019-2020,Graduate,Male,"1,764"
Carleton,2019-2020,Graduate,N/A or Another,99
Carleton,2020-2021,Undergraduate,Female,"10,807"
Carleton,2020-2021,Undergraduate,Male,"10,164"
Carleton,2020-2021,Undergraduate,N/A or Another,258
Carleton,2020-2021,Graduate,Female,"1,935"
Carleton,2020-2021,Graduate,Male,"1,836"
Carleton,2020-2021,Graduate,N/A or Another,74
Carleton,2021-2022,Undergraduate,Female,"10,422"
Carleton,2021-2022,Undergraduate,Male,"9,873"
Carleton,2021-2022,Undergraduate,N/A or Another,268
Carleton,2021-2022,Graduate,Female,"1,966"
Carleton,2021-2022,Graduate,Male,"1,836"
Carleton,2021-2022,Graduate,N/A or Another,70
Carleton,2022-2023,Undergraduate,Female,"9,871"
Carleton,2022-2023,Undergraduate,Male,"9,718"
Carleton,2022-2023,Undergraduate,N/A or Another,334
Carleton,2022-2023,Graduate,Female,"1,942"
Carleton,2022-2023,Graduate,Male,"1,784"
Carleton,2022-2023,Graduate,N/A or Another,78
Carleton,2023-2024,Undergraduate,Female,"9,716"
Carleton,2023-2024,Undergraduate,Male,"9,861"
Carleton,2023-2024,Undergraduate,N/A or Another,478
Carleton,2023-2024,Graduate,Female,"1,984"
Carleton,2023-2024,Graduate,Male,"1,810"
Carleton,2023-2024,Graduate,N/A or Another,126
Carleton,2024-2025,Undergraduate,Female,9502
Carleton,2024-2025,Undergraduate,Male,9621
Carleton,2024-2025,Undergraduate,N/A or Another,598
Carleton,2024-2025,Graduate,Female,2076
Carleton,2024-2025,Graduate,Male,1858
Carleton,2024-2025,Graduate,N/A or Another,151
Dominican,2012-2013,Undergraduate,Female,19
Dominican,2012-2013,Undergraduate,Male,38
Dominican,2012-2013,Graduate,Female,11
Dominican,2012-2013,Graduate,Male,39
Guelph,2012-2013,Undergraduate,Female,"13,601"
Guelph,2012-2013,Undergraduate,Male,"8,904"
Guelph,2012-2013,Undergraduate,N/A or Another,*
Guelph,2012-2013,Graduate,Female,"1,355"
Guelph,2012-2013,Graduate,Male,"1,058"
Guelph,2013-2014,Undergraduate,Female,"13,615"
Guelph,2013-2014,Undergraduate,Male,"9,090"
Guelph,2013-2014,Undergraduate,N/A or Another,*
Guelph,2013-2014,Graduate,Female,"1,334"
Guelph,2013-2014,Graduate,Male,"1,001"
Guelph,2014-2015,Undergraduate,Female,"13,787"
Guelph,2014-2015,Undergraduate,Male,"9,155"
Guelph,2014-2015,Undergraduate,N/A or Another,*
Guelph,2014-2015,Graduate,Female,"1,307"
Guelph,2014-2015,Graduate,Male,983
Guelph,2015-2016,Undergraduate,Female,"14,076"
Guelph,2015-2016,Undergraduate,Male,"9,630"
Guelph,2015-2016,Graduate,Female,"1,359"
Guelph,2015-2016,Graduate,Male,939
Guelph,2016-2017,Undergraduate,Female,"14,546"
Guelph,2016-2017,Undergraduate,Male,"9,723"
Guelph,2016-2017,Undergraduate,N/A or Another,*
Guelph,2016-2017,Graduate,Female,"1,428"
Guelph,2016-2017,Graduate,Male,"1,060"
Guelph,2016-2017,Graduate,N/A or Another,0
Guelph,2017-2018,Undergraduate,Female,"14,568"
Guelph,2017-2018,Undergraduate,Male,"9,593"
Guelph,2017-2018,Undergraduate,N/A or Another,39
Guelph,2017-2018,Graduate,Female,"1,504"
Guelph,2017-2018,Graduate,Male,"1,106"
Guelph,2017-2018,Graduate,N/A or Another,11
Guelph,2018-2019,Undergraduate,Female,"14,552"
Guelph,2018-2019,Undergraduate,Male,"9,503"
Guelph,2018-2019,Undergraduate,N/A or Another,62
Guelph,2018-2019,Graduate,Female,"1,553"
Guelph,2018-2019,Graduate,Male,"1,103"
Guelph,2018-2019,Graduate,N/A or Another,31
Guelph,2019-2020,Undergraduate,Female,"14,774"
Guelph,2019-2020,Undergraduate,Male,"9,474"
Guelph,2019-2020,Undergraduate,N/A or Another,213
Guelph,2019-2020,Graduate,Female,"1,633"
Guelph,2019-2020,Graduate,Male,"1,138"
Guelph,2019-2020,Graduate,N/A or Another,65
Guelph,2020-2021,Undergraduate,Female,"14,485"
Guelph,2020-2021,Undergraduate,Male,"9,111"
Guelph,2020-2021,Undergraduate,N/A or Another,402
Guelph,2020-2021,Graduate,Female,"1,610"
Guelph,2020-2021,Graduate,Male,"1,113"
Guelph,2020-2021,Graduate,N/A or Another,111
Guelph,2021-2022,Undergraduate,Female,"14,020"
Guelph,2021-2022,Undergraduate,Male,"8,801"
Guelph,2021-2022,Undergraduate,N/A or Another,479
Guelph,2021-2022,Graduate,Female,"1,650"
Guelph,2021-2022,Graduate,Male,"1,105"
Guelph,2021-2022,Graduate,N/A or Another,158
