Institution,Fiscal Year,Study Level,Gender Group,HEADCOUNT
Metropolitan,2022-2023,Graduate,Male,"1,185"
Metropolitan,2022-2023,Graduate,N/A or Another,28
Metropolitan,2023-2024,Undergraduate,Female,"17,280"
Metropolitan,2023-2024,Undergraduate,Male,"13,387"
Metropolitan,2023-2024,Undergraduate,N/A or Another,552
Metropolitan,2023-2024,Graduate,Female,"1,350"
Metropolitan,2023-2024,Graduate,Male,"1,187"
Metropolitan,2023-2024,Graduate,N/A or Another,60
Metropolitan,2024-2025,Undergraduate,Female,17375
Metropolitan,2024-2025,Undergraduate,Male,14040
Metropolitan,2024-2025,Undergraduate,N/A or Another,681
Metropolitan,2024-2025,Graduate,Female,1413
Metropolitan,2024-2025,Graduate,Male,1196
Metropolitan,2024-2025,Graduate,N/A or Another,53
Nipissing,2012-2013,Undergraduate,Female,"2,506"
Nipissing,2012-2013,Undergraduate,Male,"1,166"
Nipissing,2012-2013,Graduate,Female,54
Nipissing,2012-2013,Graduate,Male,40
Nipissing,2013-2014,Undergraduate,Female,"2,331"
Nipissing,2013-2014,Undergraduate,Male,"1,088"
Nipissing,2013-2014,Graduate,Female,63
Nipissing,2013-2014,Graduate,Male,38
Nipissing,2014-2015,Undergraduate,Female,"2,203"
Nipissing,2014-2015,Undergraduate,Male,"1,081"
Nipissing,2014-2015,Graduate,Female,94
Nipissing,2014-2015,Graduate,Male,41
Nipissing,2015-2016,Undergraduate,Female,"2,141"
Nipissing,2015-2016,Undergraduate,Male,964
Nipissing,2015-2016,Graduate,Female,118
Nipissing,2015-2016,Graduate,Male,41
Nipissing,2016-2017,Undergraduate,Female,"2,123"
Nipissing,2016-2017,Undergraduate,Male,964
Nipissing,2016-2017,Graduate,Female,108
Nipissing,2016-2017,Graduate,Male,36
Nipissing,2017-2018,Undergraduate,Female,"2,063"
Nipissing,2017-2018,Undergraduate,Male,908
Nipissing,2017-2018,Undergraduate,N/A or Another,45
Nipissing,2017-2018,Graduate,Female,107
Nipissing,2017-2018,Graduate,Male,44
Nipissing,2017-2018,Graduate,N/A or Another,*
Nipissing,2018-2019,Undergraduate,Female,"2,313"
Nipissing,2018-2019,Undergraduate,Male,996
Nipissing,2018-2019,Undergraduate,N/A or Another,90
Nipissing,2018-2019,Graduate,Female,113
Nipissing,2018-2019,Graduate,Male,53
Nipissing,2018-2019,Graduate,N/A or Another,0
Nipissing,2019-2020,Undergraduate,Female,"2,524"
Nipissing,2019-2020,Undergraduate,Male,"1,077"
Nipissing,2019-2020,Undergraduate,N/A or Another,14
Nipissing,2019-2020,Graduate,Female,107
Nipissing,2019-2020,Graduate,Male,54
Nipissing,2020-2021,Undergraduate,Female,"2,480"
Nipissing,2020-2021,Undergraduate,Male,"1,109"
Nipissing,2020-2021,Undergraduate,N/A or Another,15
Nipissing,2020-2021,Graduate,Female,113
Nipissing,2020-2021,Graduate,Male,65
Nipissing,2020-2021,Graduate,N/A or Another,*
Nipissing,2021-2022,Undergraduate,Female,"2,596"
Nipissing,2021-2022,Undergraduate,Male,"1,137"
Nipissing,2021-2022,Undergraduate,N/A or Another,20
Nipissing,2021-2022,Graduate,Female,121
Nipissing,2021-2022,Graduate,Male,63
Nipissing,2021-2022,Graduate,N/A or Another,*
Nipissing,2022-2023,Undergraduate,Female,"2,439"
Nipissing,2022-2023,Undergraduate,Male,"1,145"
Nipissing,2022-2023,Undergraduate,N/A or Another,31
Nipissing,2022-2023,Graduate,Female,113
Nipissing,2022-2023,Graduate,Male,56
Nipissing,2022-2023,Graduate,N/A or Another,*
Nipissing,2023-2024,Undergraduate,Female,"2,506"
Nipissing,2023-2024,Undergraduate,Male,"1,256"
Nipissing,2023-2024,Undergraduate,N/A or Another,106
Nipissing,2023-2024,Graduate,Female,114
Nipissing,2023-2024,Graduate,Male,53
Nipissing,2023-2024,Graduate,N/A or Another,*
Nipissing,2024-2025,Undergraduate,Female,2768
Nipissing,2024-2025,Undergraduate,Male,1315
Nipissing,2024-2025,Undergraduate,N/A or Another,192
Nipissing,2024-2025,Graduate,Female,107
Nipissing,2024-2025,Graduate,Male,53
Nipissing,2024-2025,Graduate,N/A or Another,10
NOSMU,2012-2013,Undergraduate,Female,248
NOSMU,2012-2013,Undergraduate,Male,139
NOSMU,2013-2014,Undergraduate,Female,268
NOSMU,2013-2014,Undergraduate,Male,148
NOSMU,2014-2015,Undergraduate,Female,271
NOSMU,2014-2015,Undergraduate,Male,154
NOSMU,2015-2016,Undergraduate,Female,273
NOSMU,2015-2016,Undergraduate,Male,160
NOSMU,2016-2017,Undergraduate,Female,267
NOSMU,2016-2017,Undergraduate,Male,170
NOSMU,2017-2018,Undergraduate,Female,269
NOSMU,2017-2018,Undergraduate,Male,169
NOSMU,2018-2019,Undergraduate,Female,279
NOSMU,2018-2019,Undergraduate,Male,169
NOSMU,2019-2020,Undergraduate,Female,274
NOSMU,2019-2020,Undergraduate,Male,173
NOSMU,2020-2021,Undergraduate,Female,281
NOSMU,2020-2021,Undergraduate,Male,176
NOSMU,2021-2022,Undergraduate,Female,285
NOSMU,2021-2022,Undergraduate,Male,160
NOSMU,2021-2022,Undergraduate,N/A or Another,*
NOSMU,2021-2022,Graduate,Female,*
NOSMU,2021-2022,Graduate,N/A or Another,0
NOSMU,2022-2023,Undergraduate,Female,274
NOSMU,2022-2023,Undergraduate,Male,140
NOSMU,2022-2023,Undergraduate,N/A or Another,53
NOSMU,2022-2023,Graduate,Female,*
NOSMU,2022-2023,Graduate,N/A or Another,*
NOSMU,2023-2024,Undergraduate,Female,295
NOSMU,2023-2024,Undergraduate,Male,133
NOSMU,2023-2024,Undergraduate,N/A or Another,57
NOSMU,2023-2024,Graduate,Female,*
NOSMU,2023-2024,Graduate,N/A or Another,*
NOSMU,2024-2025,Undergraduate,Female,305
NOSMU,2024-2025,Undergraduate,Male,143
NOSMU,2024-2025,Undergraduate,N/A or Another,65
NOSMU,2024-2025,Graduate,Female,*
NOSMU,2024-2025,Graduate,Male,*
NOSMU,2024-2025,Graduate,N/A or Another,*
OCADU,2012-2013,Undergraduate,Female,"2,351"
OCADU,2012-2013,Undergraduate,Male,"1,087"
OCADU,2012-2013,Graduate,Female,84
OCADU,2012-2013,Graduate,Male,49
OCADU,2013-2014,Undergraduate,Female,"2,357"
OCADU,2013-2014,Undergraduate,Male,"1,038"
OCADU,2013-2014,Graduate,Female,99
OCADU,2013-2014,Graduate,Male,61
OCADU,2014-2015,Undergraduate,Female,"2,320"
OCADU,2014-2015,Undergraduate,Male,"1,038"
OCADU,2014-2015,Graduate,Female,108
OCADU,2014-2015,Graduate,Male,59
OCADU,2015-2016,Undergraduate,Female,"2,285"
OCADU,2015-2016,Undergraduate,Male,"1,033"
OCADU,2015-2016,Graduate,Female,109
OCADU,2015-2016,Graduate,Male,63
OCADU,2015-2016,Graduate,N/A or Another,*
OCADU,2016-2017,Undergraduate,Female,"2,194"
OCADU,2016-2017,Undergraduate,Male,986
OCADU,2016-2017,Graduate,Female,116
OCADU,2016-2017,Graduate,Male,56
OCADU,2016-2017,Graduate,N/A or Another,*
OCADU,2017-2018,Undergraduate,Female,"2,194"
OCADU,2017-2018,Undergraduate,Male,962
OCADU,2017-2018,Undergraduate,N/A or Another,48
OCADU,2017-2018,Graduate,Female,128
OCADU,2017-2018,Graduate,Male,50
OCADU,2017-2018,Graduate,N/A or Another,*
OCADU,2018-2019,Undergraduate,Female,"2,166"
OCADU,2018-2019,Undergraduate,Male,936
OCADU,2018-2019,Undergraduate,N/A or Another,103
OCADU,2018-2019,Graduate,Female,143
OCADU,2018-2019,Graduate,Male,54
OCADU,2018-2019,Graduate,N/A or Another,*
OCADU,2019-2020,Undergraduate,Female,"2,224"
OCADU,2019-2020,Undergraduate,Male,973
OCADU,2019-2020,Undergraduate,N/A or Another,147
OCADU,2019-2020,Graduate,Female,162
OCADU,2019-2020,Graduate,Male,51
OCADU,2019-2020,Graduate,N/A or Another,*
OCADU,2020-2021,Undergraduate,Female,"2,729"
OCADU,2020-2021,Undergraduate,Male,"1,100"
OCADU,2020-2021,Undergraduate,N/A or Another,211
OCADU,2020-2021,Graduate,Female,165
OCADU,2020-2021,Graduate,Male,53
OCADU,2020-2021,Graduate,N/A or Another,12
OCADU,2021-2022,Undergraduate,Female,"2,775"
OCADU,2021-2022,Undergraduate,Male,"1,072"
OCADU,2021-2022,Undergraduate,N/A or Another,266
OCADU,2021-2022,Graduate,Female,163
OCADU,2021-2022,Graduate,Male,74
OCADU,2021-2022,Graduate,N/A or Another,15
OCADU,2022-2023,Undergraduate,Female,"2,849"
OCADU,2022-2023,Undergraduate,Male,"1,160"
OCADU,2022-2023,Undergraduate,N/A or Another,313
OCADU,2022-2023,Graduate,Female,156
OCADU,2022-2023,Graduate,Male,61
OCADU,2022-2023,Graduate,N/A or Another,15
OCADU,2023-2024,Undergraduate,Female,"2,915"
OCADU,2023-2024,Undergraduate,Male,"1,196"
OCADU,2023-2024,Undergraduate,N/A or Another,382
OCADU,2023-2024,Graduate,Female,178
OCADU,2023-2024,Graduate,Male,57
OCADU,2023-2024,Graduate,N/A or Another,21
OCADU,2024-2025,Undergraduate,Female,2814
OCADU,2024-2025,Undergraduate,Male,1137
OCADU,2024-2025,Undergraduate,N/A or Another,422
OCADU,2024-2025,Graduate,Female,156
OCADU,2024-2025,Graduate,Male,52
OCADU,2024-2025,Graduate,N/A or Another,23
Ontario Tech,2012-2013,Undergraduate,Female,"3,316"
Ontario Tech,2012-2013,Undergraduate,Male,"4,823"
Ontario Tech,2012-2013,Graduate,Female,102
Ontario Tech,2012-2013,Graduate,Male,231
Ontario Tech,2013-2014,Undergraduate,Female,"3,552"
Ontario Tech,2013-2014,Undergraduate,Male,"5,049"
Ontario Tech,2013-2014,Graduate,Female,134
Ontario Tech,2013-2014,Graduate,Male,242
Ontario Tech,2014-2015,Undergraduate,Female,"3,616"
Ontario Tech,2014-2015,Undergraduate,Male,"5,132"
Ontario Tech,2014-2015,Graduate,Female,138
Ontario Tech,2014-2015,Graduate,Male,260
Ontario Tech,2015-2016,Undergraduate,Female,"3,534"
Ontario Tech,2015-2016,Undergraduate,Male,"5,083"
Ontario Tech,2015-2016,Graduate,Female,156
Ontario Tech,2015-2016,Graduate,Male,263
Ontario Tech,2016-2017,Undergraduate,Female,"3,728"
Ontario Tech,2016-2017,Undergraduate,Male,"5,067"
Ontario Tech,2016-2017,Graduate,Female,147
Ontario Tech,2016-2017,Graduate,Male,240
Ontario Tech,2017-2018,Undergraduate,Female,"3,722"
Ontario Tech,2017-2018,Undergraduate,Male,"5,103"
Ontario Tech,2017-2018,Undergraduate,N/A or Another,*
Ontario Tech,2017-2018,Graduate,Female,160
Ontario Tech,2017-2018,Graduate,Male,279
Ontario Tech,2018-2019,Undergraduate,Female,"3,787"
Ontario Tech,2018-2019,Undergraduate,Male,"5,123"
Ontario Tech,2018-2019,Undergraduate,N/A or Another,32
Ontario Tech,2018-2019,Graduate,Female,194
Ontario Tech,2018-2019,Graduate,Male,281
Ontario Tech,2018-2019,Graduate,N/A or Another,*
Ontario Tech,2019-2020,Undergraduate,Female,"3,768"
Ontario Tech,2019-2020,Undergraduate,Male,"5,167"
Ontario Tech,2019-2020,Undergraduate,N/A or Another,58
Ontario Tech,2019-2020,Graduate,Female,207
Ontario Tech,2019-2020,Graduate,Male,308
Ontario Tech,2019-2020,Graduate,N/A or Another,*
Ontario Tech,2020-2021,Undergraduate,Female,"3,839"
Ontario Tech,2020-2021,Undergraduate,Male,"5,234"
Ontario Tech,2020-2021,Undergraduate,N/A or Another,100
Ontario Tech,2020-2021,Graduate,Female,241
Ontario Tech,2020-2021,Graduate,Male,313
Ontario Tech,2020-2021,Graduate,N/A or Another,*
Ontario Tech,2021-2022,Undergraduate,Female,"3,900"
Ontario Tech,2021-2022,Undergraduate,Male,"5,323"
Ontario Tech,2021-2022,Undergraduate,N/A or Another,131
Ontario Tech,2021-2022,Graduate,Female,302
Ontario Tech,2021-2022,Graduate,Male,370
Ontario Tech,2021-2022,Graduate,N/A or Another,*
Ontario Tech,2022-2023,Undergraduate,Female,"3,866"
Ontario Tech,2022-2023,Undergraduate,Male,"5,294"
Ontario Tech,2022-2023,Undergraduate,N/A or Another,178
Ontario Tech,2022-2023,Graduate,Female,335
Ontario Tech,2022-2023,Graduate,Male,408
Ontario Tech,2022-2023,Graduate,N/A or Another,13
Ontario Tech,2023-2024,Undergraduate,Female,"4,275"
Ontario Tech,2023-2024,Undergraduate,Male,"5,535"
Ontario Tech,2023-2024,Undergraduate,N/A or Another,196
Ontario Tech,2023-2024,Graduate,Female,370
Ontario Tech,2023-2024,Graduate,Male,358
Ontario Tech,2023-2024,Graduate,N/A or Another,10
Ontario Tech,2024-2025,Undergraduate,Female,4559
Ontario Tech,2024-2025,Undergraduate,Male,5754
Ontario Tech,2024-2025,Undergraduate,N/A or Another,237
Ontario Tech,2024-2025,Graduate,Female,428
Ontario Tech,2024-2025,Graduate,Male,461
Ontario Tech,2024-2025,Graduate,N/A or Another,13
Ottawa,2012-2013,Undergraduate,Female,"18,221"
Ottawa,2012-2013,Undergraduate,Male,"11,699"
Ottawa,2012-2013,Graduate,Female,"2,868"
Ottawa,2012-2013,Graduate,Male,"2,344"
Ottawa,2013-2014,Undergraduate,Female,"18,241"
Ottawa,2013-2014,Undergraduate,Male,"11,794"
Ottawa,2013-2014,Graduate,Female,"2,941"
Ottawa,2013-2014,Graduate,Male,"2,562"
Ottawa,2014-2015,Undergraduate,Female,"18,296"
Ottawa,2014-2015,Undergraduate,Male,"11,973"
Ottawa,2014-2015,Graduate,Female,"2,946"
Ottawa,2014-2015,Graduate,Male,"2,709"
Ottawa,2015-2016,Undergraduate,Female,"18,188"
Ottawa,2015-2016,Undergraduate,Male,"12,153"
Ottawa,2015-2016,Graduate,Female,"2,989"
Ottawa,2015-2016,Graduate,Male,"2,612"
Ottawa,2016-2017,Undergraduate,Female,"18,515"
Ottawa,2016-2017,Undergraduate,Male,"12,481"
Ottawa,2016-2017,Undergraduate,N/A or Another,0
Ottawa,2016-2017,Graduate,Female,"2,913"
Ottawa,2016-2017,Graduate,Male,"2,618"
Ottawa,2017-2018,Undergraduate,Female,"18,257"
Ottawa,2017-2018,Undergraduate,Male,"12,276"
Ottawa,2017-2018,Undergraduate,N/A or Another,276
Ottawa,2017-2018,Graduate,Female,"3,047"
Ottawa,2017-2018,Graduate,Male,"2,575"
Ottawa,2017-2018,Graduate,N/A or Another,114
Ottawa,2018-2019,Undergraduate,Female,"18,456"
Ottawa,2018-2019,Undergraduate,Male,"12,393"
Ottawa,2018-2019,Undergraduate,N/A or Another,462
Ottawa,2018-2019,Graduate,Female,"3,146"
Ottawa,2018-2019,Graduate,Male,"2,631"
Ottawa,2018-2019,Graduate,N/A or Another,230
Ottawa,2019-2020,Undergraduate,Female,"18,714"
Ottawa,2019-2020,Undergraduate,Male,"12,198"
Ottawa,2019-2020,Undergraduate,N/A or Another,641
Ottawa,2019-2020,Graduate,Female,"3,340"
Ottawa,2019-2020,Graduate,Male,"2,679"
Ottawa,2019-2020,Graduate,N/A or Another,285
Ottawa,2020-2021,Undergraduate,Female,"19,373"
Ottawa,2020-2021,Undergraduate,Male,"12,403"
Ottawa,2020-2021,Undergraduate,N/A or Another,838
Ottawa,2020-2021,Graduate,Female,"3,490"
Ottawa,2020-2021,Graduate,Male,"2,651"
Ottawa,2020-2021,Graduate,N/A or Another,314
Ottawa,2021-2022,Undergraduate,Female,"20,274"
Ottawa,2021-2022,Undergraduate,Male,"12,822"
Ottawa,2021-2022,Undergraduate,N/A or Another,903
Ottawa,2021-2022,Graduate,Female,"3,660"
Ottawa,2021-2022,Graduate,Male,"2,761"
Ottawa,2021-2022,Graduate,N/A or Another,357
Ottawa,2022-2023,Undergraduate,Female,"20,364"
Ottawa,2022-2023,Undergraduate,Male,"12,944"
Ottawa,2022-2023,Undergraduate,N/A or Another,974
Ottawa,2022-2023,Graduate,Female,"3,742"
Ottawa,2022-2023,Graduate,Male,"2,982"
Ottawa,2022-2023,Graduate,N/A or Another,347
Ottawa,2023-2024,Undergraduate,Female,"20,443"
Ottawa,2023-2024,Undergraduate,Male,"13,248"
Ottawa,2023-2024,Undergraduate,N/A or Another,"1,064"
Ottawa,2023-2024,Graduate,Female,"3,817"
Ottawa,2023-2024,Graduate,Male,"2,964"
Ottawa,2023-2024,Graduate,N/A or Another,347
Ottawa,2024-2025,Undergraduate,Female,20935
Ottawa,2024-2025,Undergraduate,Male,13452
Ottawa,2024-2025,Undergraduate,N/A or Another,1063
Ottawa,2024-2025,Graduate,Female,3818
Ottawa,2024-2025,Graduate,Male,2755
Ottawa,2024-2025,Graduate,N/A or Another,355
Queen's,2012-2013,Undergraduate,Female,"10,279"
Queen's,2012-2013,Undergraduate,Male,"7,024"
Queen's,2012-2013,Graduate,Female,"1,783"
Queen's,2012-2013,Graduate,Male,"1,963"
Queen's,2013-2014,Undergraduate,Female,"10,497"
Queen's,2013-2014,Undergraduate,Male,"7,214"
Queen's,2013-2014,Graduate,Female,"1,781"
Queen's,2013-2014,Graduate,Male,"2,017"
Queen's,2014-2015,Undergraduate,Female,"10,913"
Queen's,2014-2015,Undergraduate,Male,"7,606"
Queen's,2014-2015,Graduate,Female,"1,831"
Queen's,2014-2015,Graduate,Male,"2,125"
Queen's,2015-2016,Undergraduate,Female,"11,229"
Queen's,2015-2016,Undergraduate,Male,"7,873"
Queen's,2015-2016,Graduate,Female,"1,948"
Queen's,2015-2016,Graduate,Male,"2,120"
Queen's,2016-2017,Undergraduate,Female,"11,464"
Queen's,2016-2017,Undergraduate,Male,"7,962"
Queen's,2016-2017,Undergraduate,N/A or Another,0
Queen's,2016-2017,Graduate,Female,"1,960"
Queen's,2016-2017,Graduate,Male,"2,114"
Queen's,2017-2018,Undergraduate,Female,"11,942"
Queen's,2017-2018,Undergraduate,Male,"8,258"
Queen's,2017-2018,Undergraduate,N/A or Another,21
Queen's,2017-2018,Graduate,Female,"2,074"
Queen's,2017-2018,Graduate,Male,"2,241"
Queen's,2018-2019,Undergraduate,Female,"12,445"
Queen's,2018-2019,Undergraduate,Male,"8,450"
Queen's,2018-2019,Undergraduate,N/A or Another,18
Queen's,2018-2019,Graduate,Female,"2,308"
Queen's,2018-2019,Graduate,Male,"2,314"
Queen's,2019-2020,Undergraduate,Female,"12,602"
Queen's,2019-2020,Undergraduate,Male,"8,456"
Queen's,2019-2020,Undergraduate,N/A or Another,211
Queen's,2019-2020,Graduate,Female,"2,418"
Queen's,2019-2020,Graduate,Male,"2,318"
Queen's,2019-2020,Graduate,N/A or Another,51
Queen's,2020-2021,Undergraduate,Female,"12,824"
Queen's,2020-2021,Undergraduate,Male,"8,686"
Queen's,2020-2021,Undergraduate,N/A or Another,303
Queen's,2020-2021,Graduate,Female,"2,391"
Queen's,2020-2021,Graduate,Male,"2,328"
Queen's,2020-2021,Graduate,N/A or Another,63
Queen's,2021-2022,Undergraduate,Female,"13,458"
Queen's,2021-2022,Undergraduate,Male,"9,022"
Queen's,2021-2022,Undergraduate,N/A or Another,346
Queen's,2021-2022,Graduate,Female,"2,894"
Queen's,2021-2022,Graduate,Male,"2,642"
Queen's,2021-2022,Graduate,N/A or Another,76
Queen's,2022-2023,Undergraduate,Female,"13,794"
Queen's,2022-2023,Undergraduate,Male,"9,310"
Queen's,2022-2023,Undergraduate,N/A or Another,401
Queen's,2022-2023,Graduate,Female,"2,907"
Queen's,2022-2023,Graduate,Male,"2,473"
Queen's,2022-2023,Graduate,N/A or Another,85
Queen's,2023-2024,Undergraduate,Female,"14,130"
Queen's,2023-2024,Undergraduate,Male,"9,480"
Queen's,2023-2024,Undergraduate,N/A or Another,641
Queen's,2023-2024,Graduate,Female,"2,907"
Queen's,2023-2024,Graduate,Male,"2,305"
Queen's,2023-2024,Graduate,N/A or Another,89
Queen's,2024-2025,Undergraduate,Female,14357
Queen's,2024-2025,Undergraduate,Male,9740
Queen's,2024-2025,Undergraduate,N/A or Another,670
Queen's,2024-2025,Graduate,Female,2847
Queen's,2024-2025,Graduate,Male,2374
Queen's,2024-2025,Graduate,N/A or Another,74
Toronto,2012-2013,Undergraduate,Female,"33,186"
Toronto,2012-2013,Undergraduate,Male,"26,035"
Toronto,2012-2013,Undergraduate,N/A or Another,14
Toronto,2012-2013,Graduate,Female,"7,493"
Toronto,2012-2013,Graduate,Male,"6,480"
Toronto,2012-2013,Graduate,N/A or Another,*
Toronto,2013-2014,Undergraduate,Female,"34,018"
Toronto,2013-2014,Undergraduate,Male,"26,685"
Toronto,2013-2014,Undergraduate,N/A or Another,*
Toronto,2013-2014,Graduate,Female,"7,830"
Toronto,2013-2014,Graduate,Male,"6,852"
Toronto,2013-2014,Graduate,N/A or Another,*
Toronto,2014-2015,Undergraduate,Female,"34,510"
Toronto,2014-2015,Undergraduate,Male,"27,405"
Toronto,2014-2015,Undergraduate,N/A or Another,10
Toronto,2014-2015,Graduate,Female,"8,187"
Toronto,2014-2015,Graduate,Male,"7,058"
Toronto,2014-2015,Graduate,N/A or Another,12
Toronto,2015-2016,Undergraduate,Female,"35,478"
Toronto,2015-2016,Undergraduate,Male,"28,230"
Toronto,2015-2016,Undergraduate,N/A or Another,12
Toronto,2015-2016,Graduate,Female,"8,585"
Toronto,2015-2016,Graduate,Male,"7,218"
Toronto,2015-2016,Graduate,N/A or Another,15
Toronto,2016-2017,Undergraduate,Female,"35,807"
Toronto,2016-2017,Undergraduate,Male,"28,503"
Toronto,2016-2017,Undergraduate,N/A or Another,26
Toronto,2016-2017,Graduate,Female,"9,056"
Toronto,2016-2017,Graduate,Male,"7,521"
Toronto,2016-2017,Graduate,N/A or Another,29
Toronto,2017-2018,Undergraduate,Female,"36,187"
Toronto,2017-2018,Undergraduate,Male,"28,397"
Toronto,2017-2018,Undergraduate,N/A or Another,363
Toronto,2017-2018,Graduate,Female,"9,452"
Toronto,2017-2018,Graduate,Male,"7,560"
Toronto,2017-2018,Graduate,N/A or Another,45
Toronto,2018-2019,Undergraduate,Female,"36,658"
Toronto,2018-2019,Undergraduate,Male,"28,357"
Toronto,2018-2019,Undergraduate,N/A or Another,705
Toronto,2018-2019,Graduate,Female,"9,922"
Toronto,2018-2019,Graduate,Male,"7,828"
Toronto,2018-2019,Graduate,N/A or Another,84
Toronto,2019-2020,Undergraduate,Female,"36,831"
Toronto,2019-2020,Undergraduate,Male,"28,775"
Toronto,2019-2020,Undergraduate,N/A or Another,"1,029"
Toronto,2019-2020,Graduate,Female,"10,586"
Toronto,2019-2020,Graduate,Male,"7,944"
Toronto,2019-2020,Graduate,N/A or Another,150
Toronto,2020-2021,Undergraduate,Female,"37,399"
Toronto,2020-2021,Undergraduate,Male,"29,224"
Toronto,2020-2021,Undergraduate,N/A or Another,"1,379"
Toronto,2020-2021,Graduate,Female,"10,974"
Toronto,2020-2021,Graduate,Male,"7,913"
Toronto,2020-2021,Graduate,N/A or Another,168
Toronto,2021-2022,Undergraduate,Female,"37,695"
Toronto,2021-2022,Undergraduate,Male,"29,581"
Toronto,2021-2022,Undergraduate,N/A or Another,"1,649"
Toronto,2021-2022,Graduate,Female,"11,466"
Toronto,2021-2022,Graduate,Male,"8,160"
Toronto,2021-2022,Graduate,N/A or Another,196
Toronto,2022-2023,Undergraduate,Female,"37,942"
Toronto,2022-2023,Undergraduate,Male,"29,831"
Toronto,2022-2023,Undergraduate,N/A or Another,"1,895"
Toronto,2022-2023,Graduate,Female,"11,683"
Toronto,2022-2023,Graduate,Male,"8,120"
Toronto,2022-2023,Graduate,N/A or Another,213
Toronto,2023-2024,Undergraduate,Female,"38,853"
Toronto,2023-2024,Undergraduate,Male,"31,096"
Toronto,2023-2024,Undergraduate,N/A or Another,"2,001"
Toronto,2023-2024,Graduate,Female,"11,708"
Toronto,2023-2024,Graduate,Male,"7,984"
Toronto,2023-2024,Graduate,N/A or Another,238
Toronto,2024-2025,Undergraduate,Female,40238
Toronto,2024-2025,Undergraduate,Male,31854
Toronto,2024-2025,Undergraduate,N/A or Another,2102
Toronto,2024-2025,Graduate,Female,11926
Toronto,2024-2025,Graduate,Male,8122
Toronto,2024-2025,Graduate,N/A or Another,256
Trent,2012-2013,Undergraduate,Female,"4,174"
Trent,2012-2013,Undergraduate,Male,"2,235"
Trent,2012-2013,Graduate,Female,245
Trent,2012-2013,Graduate,Male,170
Trent,2013-2014,Undergraduate,Female,"4,284"
Trent,2013-2014,Undergraduate,Male,"2,214"
Trent,2013-2014,Graduate,Female,248
Trent,2013-2014,Graduate,Male,169
Trent,2014-2015,Undergraduate,Female,"4,347"
Trent,2014-2015,Undergraduate,Male,"2,193"
Trent,2014-2015,Graduate,Female,237
Trent,2014-2015,Graduate,Male,142
Trent,2015-2016,Undergraduate,Female,"4,423"
Trent,2015-2016,Undergraduate,Male,"2,278"
Trent,2015-2016,Graduate,Female,235
Trent,2015-2016,Graduate,Male,137
Trent,2016-2017,Undergraduate,Female,"4,894"
Trent,2016-2017,Undergraduate,Male,"2,384"
Trent,2016-2017,Undergraduate,N/A or Another,*
Trent,2016-2017,Graduate,Female,228
Trent,2016-2017,Graduate,Male,131
Trent,2017-2018,Undergraduate,Female,"5,187"
Trent,2017-2018,Undergraduate,Male,"2,484"
Trent,2017-2018,Undergraduate,N/A or Another,62
Trent,2017-2018,Graduate,Female,246
Trent,2017-2018,Graduate,Male,171
Trent,2017-2018,Graduate,N/A or Another,*
Trent,2018-2019,Undergraduate,Female,"5,505"
Trent,2018-2019,Undergraduate,Male,"2,583"
Trent,2018-2019,Undergraduate,N/A or Another,135
Trent,2018-2019,Graduate,Female,295
Trent,2018-2019,Graduate,Male,193
Trent,2018-2019,Graduate,N/A or Another,*
Trent,2019-2020,Undergraduate,Female,"5,913"
Trent,2019-2020,Undergraduate,Male,"2,816"
Trent,2019-2020,Undergraduate,N/A or Another,174
Trent,2019-2020,Graduate,Female,308
Trent,2019-2020,Graduate,Male,209
Trent,2019-2020,Graduate,N/A or Another,16
Trent,2020-2021,Undergraduate,Female,"6,022"
Trent,2020-2021,Undergraduate,Male,"2,920"
Trent,2020-2021,Undergraduate,N/A or Another,210
Trent,2020-2021,Graduate,Female,338
Trent,2020-2021,Graduate,Male,192
Trent,2020-2021,Graduate,N/A or Another,16
Trent,2021-2022,Undergraduate,Female,"6,243"
Trent,2021-2022,Undergraduate,Male,"3,049"
Trent,2021-2022,Undergraduate,N/A or Another,194
Trent,2021-2022,Graduate,Female,340
Trent,2021-2022,Graduate,Male,268
Trent,2021-2022,Graduate,N/A or Another,23
Trent,2022-2023,Undergraduate,Female,"6,513"
Trent,2022-2023,Undergraduate,Male,"3,221"
Trent,2022-2023,Undergraduate,N/A or Another,248
Trent,2022-2023,Graduate,Female,381
Trent,2022-2023,Graduate,Male,270
Trent,2022-2023,Graduate,N/A or Another,26
Trent,2023-2024,Undergraduate,Female,"6,954"
Trent,2023-2024,Undergraduate,Male,"3,594"
Trent,2023-2024,Undergraduate,N/A or Another,336
Trent,2023-2024,Graduate,Female,506
Trent,2023-2024,Graduate,Male,509
Trent,2023-2024,Graduate,N/A or Another,27
Trent,2024-2025,Undergraduate,Female,6857
Trent,2024-2025,Undergraduate,Male,3542
Trent,2024-2025,Undergraduate,N/A or Another,409
Trent,2024-2025,Graduate,Female,578
Trent,2024-2025,Graduate,Male,483
Trent,2024-2025,Graduate,N/A or Another,27
UOF,2021-2022,Undergraduate,Female,14
UOF,2021-2022,Undergraduate,Male,13
UOF,2022-2023,Undergraduate,Female,43
UOF,2022-2023,Undergraduate,Male,55
UOF,2022-2023,Undergraduate,N/A or Another,0
UOF,2023-2024,Undergraduate,Female,107
UOF,2023-2024,Undergraduate,Male,86
UOF,2023-2024,Undergraduate,N/A or Another,*
